0.437	-1.826754	-1.476160
0.440	-1.827149	-1.476548
0.443	-1.827610	-1.476842
0.445	-1.828005	-1.477234
0.448	-1.829255	-1.478157
0.450	-1.829255	-1.478150
0.453	-1.830176	-1.479014
0.455	-1.832348	-1.480582
0.458	-1.832809	-1.480711
0.460	-1.833730	-1.481970
0.463	-1.834651	-1.482432
0.465	-1.835573	-1.483749
0.468	-1.833072	-1.481305
0.470	-1.833203	-1.481451
0.473	-1.833796	-1.481854
0.475	-1.834651	-1.482517
0.478	-1.834520	-1.482485
0.480	-1.836428	-1.483562
0.482	-1.837020	-1.484578
0.485	-1.836955	-1.484516
0.487	-1.837613	-1.484878
0.490	-1.837349	-1.484790
0.492	-1.837481	-1.484908
0.495	-1.837613	-1.484878
0.497	-1.840508	-1.487363
0.500	-1.840179	-1.487182
0.503	-1.840048	-1.486936
0.505	-1.839916	-1.486875
0.508	-1.840245	-1.487002
0.510	-1.841035	-1.487760
0.512	-1.841430	-1.487703
0.515	-1.842088	-1.488725
0.517	-1.841759	-1.488251
0.520	-1.842746	-1.488861
0.522	-1.842812	-1.489356
0.525	-1.842088	-1.488618
0.527	-1.841824	-1.488432
0.530	-1.843206	-1.489295
0.532	-1.843733	-1.489904
0.535	-1.843930	-1.490031
0.537	-1.844983	-1.490845
0.540	-1.845444	-1.491408
0.542	-1.844983	-1.490921
0.545	-1.845641	-1.491357
0.547	-1.848471	-1.493644
0.550	-1.848010	-1.493284
0.552	-1.847484	-1.492964
0.555	-1.848866	-1.493868
0.557	-1.848932	-1.494114
0.560	-1.849195	-1.494496
0.562	-1.849853	-1.494532
0.565	-1.851696	-1.496597
0.568	-1.850577	-1.495306
0.570	-1.850314	-1.495298
0.573	-1.850511	-1.495405
0.575	-1.851893	-1.496578
0.578	-1.851762	-1.496392
0.580	-1.853012	-1.497182
0.583	-1.852420	-1.496976
0.585	-1.852354	-1.496941
0.588	-1.852815	-1.497230
0.590	-1.852551	-1.497090
0.593	-1.853012	-1.497362
0.595	-1.854262	-1.498337
0.598	-1.856829	-1.500595
0.600	-1.855249	-1.499128
0.603	-1.856368	-1.500033
0.605	-1.856829	-1.500513
0.608	-1.857421	-1.500801
0.610	-1.858935	-1.502061
0.613	-1.860975	-1.503652
0.615	-1.863212	-1.505718
0.618	-1.862949	-1.505437
0.620	-1.862752	-1.505310
0.623	-1.862620	-1.505087
0.625	-1.863673	-1.505988
0.628	-1.863739	-1.506156
0.630	-1.865055	-1.507006
0.633	-1.865976	-1.507957
0.635	-1.865976	-1.507984
0.638	-1.865713	-1.507810
0.640	-1.866174	-1.507992
0.642	-1.866437	-1.508424
0.645	-1.866766	-1.508639
0.647	-1.868148	-1.509558
0.650	-1.867161	-1.508948
0.652	-1.866898	-1.508779
0.655	-1.867358	-1.508966
0.657	-1.868280	-1.509582
0.660	-1.869464	-1.510786
0.662	-1.869596	-1.510683
0.665	-1.870517	-1.511770
0.667	-1.869925	-1.511284
0.670	-1.869991	-1.511114
0.672	-1.869398	-1.510694
0.675	-1.870254	-1.511573
0.677	-1.870451	-1.511583
0.680	-1.872228	-1.512655
0.682	-1.872623	-1.513416
0.685	-1.871899	-1.512711
0.687	-1.873018	-1.513170
0.690	-1.874334	-1.514602
0.693	-1.874005	-1.514540
0.695	-1.873018	-1.513605
0.698	-1.875584	-1.515579
0.700	-1.874466	-1.514819
0.703	-1.874926	-1.515102
0.705	-1.875387	-1.515526
0.708	-1.875453	-1.515520
0.710	-1.875914	-1.515880
0.713	-1.875979	-1.515880
0.715	-1.877690	-1.517608
0.718	-1.875519	-1.515637
0.720	-1.876703	-1.516648
0.723	-1.876308	-1.516354
0.725	-1.877559	-1.517293
0.728	-1.877625	-1.517580
0.730	-1.879072	-1.518216
0.733	-1.879072	-1.518760
0.735	-1.879007	-1.518389
0.738	-1.879007	-1.518409
0.740	-1.879138	-1.518347
0.743	-1.880586	-1.519822
0.745	-1.880915	-1.519865
0.748	-1.882823	-1.521438
0.750	-1.883547	-1.522323
0.753	-1.881968	-1.520753
0.755	-1.881771	-1.520587
0.758	-1.882955	-1.521724
0.760	-1.882100	-1.520918
0.763	-1.882823	-1.521262
0.765	-1.885324	-1.523701
0.768	-1.883876	-1.522450
0.770	-1.883876	-1.522552
0.772	-1.884337	-1.522777
0.775	-1.884074	-1.522480
0.777	-1.884798	-1.523008
0.780	-1.886969	-1.524689
0.782	-1.887562	-1.525393
0.785	-1.885982	-1.524069
0.787	-1.887233	-1.525063
0.790	-1.887298	-1.525090
0.792	-1.888022	-1.525651
0.795	-1.888944	-1.526388
0.797	-1.889931	-1.527257
0.800	-1.889010	-1.526690
0.802	-1.889141	-1.526651
